,I
0,207.01174017649
1,187.0408807562814
2,169.57043479788322
3,154.36748507700284
4,141.2054529970695
5,129.870415397595
6,120.1650524688464
7,111.91077683261419
8,104.9485168759969
9,99.13854326381308
10,94.35964550836738
11,90.5078909202358
12,87.495133794022
13,85.24738905669848
14,83.7031414919043
15,82.81162819008179
16,82.53110706778939
17,82.8271072854416
18,83.67064758287056
19,85.03640567918022
20,86.90082594785531
21,89.24016369625731
22,92.0284825319327
23,95.23564599539417
24,98.82537452640635
25,102.753471319574
26,106.96635164659311
27,111.40003425170092
28,115.97976391581246
29,120.62042460046894
30,125.22786742508717
31,129.7012148367444
32,133.93611407576864
33,137.8288074113313
34,141.2807770487835
35,144.20362632489966
36,146.52379380466797
37,148.18667806653556
38,149.15978635793257
39,149.43460859486967
40,149.02704822410675
41,147.9763942102129
42,146.34297073510467
43,144.204730688482
44,141.6531483912519
45,138.78880703879355
46,135.7170669173355
47,132.54414931273942
48,129.3738913407799
49,126.30533397787079
50,123.4312137842547
51,120.83734950875781
52,118.6028550085279
53,116.80107239484805
54,115.50110299327802
55,114.7698149067181
56,114.67421953078289
57,115.28412962039764
58,116.67503291870152
59,118.93113284632356
60,122.14851663128972
61,126.43840700207934
62,131.93043139782358
63,138.77579720904143
64,147.15018674736075
65,157.25607490796293
66,169.32401993595735
67,183.6122804369098
68,200.4038740525214
69,219.99993301261938
70,242.70796970388554
71,268.8235152710349
72,298.60365202580726
73,332.23138511754405
74,369.77077510938403
75,411.1144417284603
76,455.9274964184118
77,503.5949716851054
78,553.1828240282164
79,603.4246147064844
80,652.7457657011115
81,699.333728227636
82,741.2551252324238
83,776.6109145318567
84,803.7103263986079
85,821.2370894738872
86,828.3801765795716
87,824.9070590888757
88,811.1688262732603
89,788.0400670954472
90,756.8081362012632
91,719.0333905727908
92,676.4032161568961
93,630.5990922177592
94,583.1895982812724
95,535.5553262580613
96,488.8457388047633
97,443.96392879554696
98,401.57308997947524
99,362.1179658721044
100,325.8550862805736
101,292.8867264664022
102,263.19484214099606
103,236.6724897097483
104,213.15130020945688
105,192.42438874518794
106,174.26465443777533
107,158.43879248483537
108,144.71754383157898
109,132.88279290545287
110,122.73212814473548
111,114.08143435483126
112,106.76601329992721
113,100.6406456069592
114,95.57892366950202
115,91.47210815749816
116,88.22769324092717
117,85.7678089138305
118,84.0275427706816
119,82.95322747995861
120,82.50071302956192
121,82.63362366254007
122,83.32158760187373
123,84.53842282054687
124,86.26026418153717
125,88.46362635497118
126,91.12341306668209
127,94.21090612605035
128,97.69179625564072
129,101.52434980084183
130,105.65783730597748
131,110.0313765785213
132,114.57335790547383
133,119.2016158102654
134,123.82448430404163
135,128.34281768682214
136,132.65297750016362
137,136.6506845551381
138,140.23552501380465
139,143.31579766387046
140,145.81331392155565
141,147.66772889608674
142,148.84000137621666
143,149.31465436233367
144,149.10062735554857
145,148.23065994129266
146,146.75930087646014
147,144.75977482798652
148,142.3200409948654
149,139.53843238387614
150,136.51926878352347
151,133.36879619624582
152,130.1917325521105
153,127.08860892954915
154,124.15400217667262
155,121.47567112360467
156,119.13454283168164
157,117.20545143784177
158,115.75851005755081
159,114.86099287240653
160,114.57961510692425
161,114.98311749034896
162,116.14508339508934
163,118.14693592353613
164,121.0810740029345
165,125.05410650230802
166,130.19012683995814
167,136.6339323352444
168,144.55402677062872
169,154.14514477087735
170,165.62989640396447
171,179.25894575314197
172,195.3089097496713
173,214.0769065082912
174,235.87042888157094
175,260.99103222904847
176,289.71030884907776
177,322.2369227621687
178,358.6742784878785
179,398.96987149885956
180,442.8596073153927
181,489.81326840796333
182,538.9904039675513
183,589.2183509368715
184,639.0046594866897
185,686.593676216671
186,730.0707853035494
187,767.5083740134861
188,797.1370402251611
189,817.5170921641159
190,827.6821892063241
191,827.2307579971344
192,816.3508807642773
193,795.777705509359
194,766.695057718929
195,730.6014584541432
196,689.1636020542904
197,644.0779636488386
198,596.9554143945488
199,549.2367445654355
200,502.1406561700034
201,456.64113526050534
202,413.46843450422665
203,373.12694629421225
204,335.92353521683424
205,302.00090535843594
206,271.3718746932248
207,243.95172249304315
208,219.5869000197711
209,198.07928004128414
210,179.20576014513261
211,162.73345619592152
212,148.43096797253892
213,136.07631362679527
214,125.4621533125095
215,116.3988881046566
216,108.71615334805058
217,102.26314390366493
218,96.9081245035861
219,92.53739904110083
220,89.05394215491263
221,86.3758366093955
222,84.43461092982253
223,83.17353289979567
224,82.54588490461636
225,82.51322574185744
226,83.04362965764203
227,84.10988655053889
228,85.68764737119896
229,87.75350580654502
230,90.28302146479261
231,93.24871079489562
232,96.61805906956405
233,100.35163809616208
234,104.40144669640256
235,108.70961970830888
236,113.20767028242494
237,117.81643285604981
238,122.4468541512044
239,127.00173265213039
240,131.37843282839106
241,135.47250358389812
242,139.18202142555126
243,142.41237296519927
244,145.08110654732724
245,147.12243615031005
246,148.4909845871048
247,149.1644116636807
248,149.14468074814317
249,148.45785930791172
250,147.15250409531876
251,145.29682644912108
252,142.97494697382368
253,140.2826176077148
254,137.32280748221618
255,134.20152046748555
256,131.02414730906023
257,127.89256821724794
258,124.90312789870202
259,122.14551760080373
260,119.70252733452186
261,117.65058119674104
262,116.0609406123592
263,115.00145205991615
264,114.53872299502754
265,114.74062677131413
266,115.67905872021505
267,117.4328858421839
268,120.09104689286458
269,123.75576344389579
270,128.54581116891515
271,134.59976915740847
272,142.07910780205845
273,151.1708863580423
274,162.08970315030902
275,175.0783695834034
276,190.40656308562993
277,208.3664630442874
278,229.2641140738871
279,253.40504614952093
280,281.0726023297202
281,312.49761723742586
282,347.81872716686576
283,387.0338589314589
284,429.9454654786613
285,476.1048119374768
286,524.7637256818707
287,574.8449622004757
288,624.9435741334815
289,673.3701393507337
290,718.2415249102921
291,757.6161908031344
292,789.6605071308547
293,812.8231328482041
294,825.9895230786352
295,828.5903736256771
296,820.6463026933925
297,802.7438862723429
298,775.9514134037072
299,741.6926887242571
300,701.6017234169864
301,657.3801257830766
302,610.6739546087816
303,562.979939897226
304,515.5843056890513
305,469.53223274127856
306,425.622760201827
307,384.42252389750195
308,346.29171832063406
309,311.41652062412834
310,279.8434656968931
311,251.5125789417371
312,226.28725755923838
313,203.9798481552355
314,184.37257679358842
315,167.23396755191274
316,152.33117702224806
317,139.4388199219708
318,128.3449069417373
319,118.85449533671887
320,110.79159295887352
321,103.99977743102936
322,98.34190765773916
323,93.69922351034928
324,89.97005621816957
325,87.0683090120156
326,84.9218154531726
327,83.47064119535439
328,82.665362762176
329,82.46533328440033
330,82.83692919376287
331,83.75176306659687
332,85.18484592330954
333,87.11268734380405
334,89.51133386531622
335,92.35436522155997
336,95.61089346971801
337,99.24364042762302
338,103.2072013236541
339,107.44663287096179
340,111.89652642225519
341,116.48073483107491
342,121.11290862074131
343,125.69795808556994
344,130.1344913364821
345,134.31818718529826
346,138.14595492210324
347,141.52062454539944
348,144.35581835748314
349,146.58059578571027
350,148.14345192350328
351,149.01529340982688
352,149.191110142687
353,148.69019554959306
354,147.55492187282243
355,145.84822692044548
356,143.65009311004582
357,141.0533821521214
358,138.1594214851337
359,135.07372265255123
360,131.90215589768744
361,128.7478229559376
362,125.7087766495305
363,122.8766454979128
364,120.33614488448477
365,118.16539978299919
366,116.43696974727318
367,115.21945333255124
368,114.57955240123843
369,114.5844915945949
370,115.30470895498077
371,116.8167547967118
372,119.20635243269727
373,122.57158163298467
374,127.02613917514887
375,132.70260570489887
376,139.7555988844203
377,148.36461325354963
378,158.73623079962422
379,171.10522724436774
380,185.7338952863253
381,202.90866319976718
382,222.932825823248
383,246.1139697468932
384,272.7445448064404
385,303.0741322507674
386,337.272450787468
387,375.38321075271097
388,417.27072577013905
389,462.563741430267
390,510.60400094705926
391,560.4100141483106
392,610.6682938737695
393,659.7637045701098
394,705.8564754830492
395,747.0056598499581
396,781.3285663726147
397,807.1755956373016
398,823.2933507687295
399,828.948590265116
400,823.9922980900039
401,808.8550864684427
402,784.4786937947965
403,752.1995528193489
404,713.606578894338
405,670.3957863701552
406,624.2402293743664
407,576.6871956639742
408,529.0876900284665
409,482.5575414304111
410,437.9656588552434
411,395.9430693252695
412,356.9060165592482
413,321.08705519545634
414,288.56925206517974
415,259.31993050161185
416,233.22162981058275
417,210.09897896920276
418,189.7409625084797
419,171.91859838814207
420,156.3983885293488
421,142.95208704167067
422,131.36340236275953
423,121.43224483096549
424,112.9770802666429
425,105.83587497611325
426,99.86603357536261
427,94.94364812077947
428,90.96230108826356
429,87.83159867964919
430,85.47555571819848
431,83.83090880149736
432,82.8453995906686
433,82.47604413019708
434,82.68738601372597
435,83.44972040093724
436,84.73727203285681
437,86.5263134528448
438,88.7932197272145
439,91.5124730893052
440,94.65465470165044
441,98.18448993675118
442,102.05904582884587
443,106.22621080454303
444,110.62361213964691
445,115.17813938325263
446,119.80623555967989
447,124.41508673001795
448,128.90478167562395
449,133.1714286862003
450,137.1111128432751
451,140.6244674696614
452,143.62153436527032
453,146.02651713295722
454,147.7820058529845
455,148.85227878600196
456,149.22536777137566
457,148.91369876599498
458,147.9532694674818
459,146.40147942597278
460,144.33386171975488
461,141.84006094387516
462,139.01944949957024
463,135.97677154441462
464,132.81815821894162
465,129.64778143787018
466,126.56532177083719
467,123.66433341274012
468,121.03150779443952
469,118.74677469925301
470,116.88413911321207
471,115.51313289097554
472,114.70075930442223
473,114.51382065343016
474,115.02153872285018
475,116.29839940322118
476,118.4271711074164
477,121.5020569895203
478,125.63193887337613
479,130.9436515114121
480,137.5851840532349
481,145.72863539651794
482,155.5726448767123
483,167.34387340139986
484,181.29691907625053
485,197.711818457717
486,216.88802524870815
487,239.13350923011467
488,264.7474478895118
489,293.9950011806276
490,327.07301967038967
491,364.0664214496348
492,404.8965530809114
493,449.2651952333655
494,496.60083267049475
495,546.0168753233662
496,596.2937680824714
497,645.8971269737507
498,693.0410118687186
499,735.7986749223164
500,772.2533686615207
501,800.6713263057436
502,819.6711199614776
503,828.3613269184087
504,826.4232077879121
505,814.125853844131
506,792.2747661447709
507,762.1070606130305
508,725.1542703164467
509,683.0957606259873
510,637.622777487023
511,590.3270534893607
512,542.6209098666815
513,495.68964402466423
514,450.4726142881262
515,407.66701998003674
516,367.7476315695443
517,330.99614625974846
518,297.53491573104236
519,267.3611044959523
520,240.37861530573906
521,216.426211598991
522,195.3011172819203
523,176.77798080864122
524,160.6234844890023
525,146.6071045161831
526,134.50862667571045
527,124.1230363659499
528,115.26336130319912
529,107.76197523517628
530,101.47078829189776
531,96.26066563523072
532,92.02033773300334
533,88.65499653232504
534,86.08471347424033
535,84.24276772804883
536,83.07393553103756
537,82.53276311649752
538,82.5818254511443
539,83.18996016062353
540,84.33046019091088
541,85.97920982899902
542,88.1127567764462
543,90.70632810700019
544,93.73181989962727
545,97.15581818494898
546,100.93774055938864
547,105.02821999493473
548,109.36788008623849
549,113.88666805096751
550,118.50391150610172
551,123.12924132854492
552,127.6644720073085
553,132.0064530278451
554,136.05080551313307
555,139.6963487658206
556,142.84991737304807
557,145.43118921839212
558,147.37710476689648
559,148.6454697065154
560,149.2173993178544
561,149.09837678830982
562,148.31784308649134
563,146.9273910864642
564,144.99777812486175
565,142.61507917202337
566,139.8763644213314
567,136.88529634441414
568,133.74800672984117
569,130.56954511130147
570,127.45110103705183
571,124.48810893135536
572,121.76925868361005
573,119.3763665165543
574,117.38501364585738
575,115.86583519720274
576,114.88633611400482
577,114.51311971944723
578,114.81443264695405
579,115.86295138783409
580,117.73875544193228
581,120.5324451681877
582,124.34836436507564
583,129.30787374438802
584,135.55258671913546
585,143.24741751186073
586,152.58319705716585
587,163.778478123871
588,177.07997291123462
589,192.7608445830731
590,211.1158198692937
591,232.45183260115326
592,257.07270610207263
593,285.2563328259285
594,317.22305395274714
595,353.0946575801563
596,392.84478181276745
597,436.24363848342165
598,482.80279018148576
599,531.7288245691232
600,581.8973698444016
601,631.8598127116694
602,679.893069021616
603,724.0970445718183
604,762.5353557483933
605,793.4043079352589
606,815.206142684493
607,826.8984411593334
608,827.9943258342473
609,818.5973984010272
610,799.3684747918269
611,771.4341589467066
612,736.2565679392686
613,695.4872098224802
614,650.8262994362658
615,603.9033586789907
616,556.1880107136263
617,508.9333597987365
618,463.1494173452193
619,419.6010744662914
620,378.8239475961647
621,341.1515663378972
622,306.7483051968624
623,275.6437374473556
624,247.76539693274495
625,222.96808897732393
626,201.05881326471535
627,181.81703554552715
628,165.01049560639288
629,150.40700727831313
630,137.78283720203788
631,126.92828368695784
632,117.65104938870977
633,109.77793798695146
634,103.15532459776857
635,97.64876519325733
636,93.14202987576891
637,89.53577293385003
638,86.7459911659766
639,84.70237136987102
640,83.34658762186349
641,82.63057807433695
642,82.51480849750594
643,82.96651488510695
644,83.95790963185333
645,85.46433488939634
646,87.46235276728552
647,89.92777517061127
648,92.83365613842952
649,96.14829586876563
650,99.83333651629492
651,103.842062336397
652,108.11804632943479
653,112.59430634076713
654,117.19313891900023
655,121.82678272763198
656,126.39902034531663
657,130.8077567981731
658,134.9485190591011
659,138.71871262741243
660,142.02236388626184
661,144.77498799723847
662,146.9081691124289
663,148.37343592072344
664,149.1450665333427
665,149.22155827550145
666,148.62563641978926
667,147.40283064654628
668,145.618795683224
669,143.3556718424381
670,140.70785687503061
671,137.77758607569243
672,134.67069521287482
673,131.49288019690985
674,128.34668251412015
675,125.32933564063471
676,122.53151860365836
677,120.03698873871822
678,117.92301227712419
679,116.26148022045223
680,115.12058611645695
681,114.56694763752277
682,114.66806989290035
683,115.49506950751304
684,117.12559926494683
685,119.64692858947573
686,123.15914073049596
687,127.77839865106559
688,133.6402033997464
689,140.9025155843115
690,149.7485261709007
691,160.38874067000157
692,173.06187546682278
693,188.03385520175735
694,205.59395306578358
695,226.04685501390205
696,249.69920319115334
697,276.8390684144969
698,307.70694513854716
699,342.45742438773084
700,381.1118655872966
701,423.504297007456
702,469.2254185592556
703,517.572670794433
704,567.5171857218013
705,617.6999644175347
706,666.4685629742129
707,711.9609375340011
708,752.2348691966645
709,785.4309746588671
710,809.9475185256522
711,824.5994449765976
712,828.7347576190562
713,822.2889889102996
714,805.7709086953746
715,780.1860524298509
716,746.9152588096177
717,707.5707559832734
718,663.8520402999294
719,617.419194900276
720,569.794566189456
721,522.2969242853832
722,476.0067794009607
723,431.7580027004106
724,390.1492568984089
725,351.5685631040193
726,316.22508772295595
