date,I,S,inc,R,cases,ran_cases,index
1944-01-07,882861,695888,984552,821251,492276,491629,0
1944-01-14,1.00464e+06,9610.9,687183,1.38575e+06,343592,343858,0
1944-01-21,615980,777.716,9791.26,1.78324e+06,4895.63,4863.37,0
1944-01-28,374373,580.15,1156.37,2.02505e+06,578.186,548.134,0
1944-02-04,227592,775.549,763.388,2.17163e+06,381.694,369.013,0
1944-02-11,138504,1085.68,648.579,2.26041e+06,324.29,332.577,0
1944-02-18,84411.7,1490.87,553.398,2.3141e+06,276.699,265.997,0
1944-02-25,51540.4,1988.62,460.691,2.34647e+06,230.346,228.833,0
1944-03-03,31540.7,2574.26,372.631,2.36589e+06,186.315,193.85,0
1944-03-10,19352.1,3239.26,293.079,2.37741e+06,146.539,156.456,0
1944-03-17,11908.4,3972.42,224.691,2.38412e+06,112.346,127.093,0
1944-03-24,7351.28,4761.6,168.422,2.38789e+06,84.2108,84.1822,0
1944-03-31,4553.42,5595.13,123.817,2.38985e+06,61.9084,76.4055,0
1944-04-07,2830.35,6462.66,89.5418,2.39071e+06,44.7709,47.5419,0
1944-04-14,1765.66,7355.58,63.8719,2.39088e+06,31.936,29.1515,0
1944-04-21,1105.49,8267.04,45.046,2.39063e+06,22.523,23.0273,0
1944-04-28,694.685,9191.78,31.4733,2.39011e+06,15.7366,8.4718,0
1944-05-05,438.115,10125.9,21.8226,2.38944e+06,10.9113,10.1717,0
1944-05-12,277.29,11066.4,15.0373,2.38866e+06,7.51866,3.83872,0
1944-05-19,176.114,12011.4,10.3097,2.38781e+06,5.15487,4.8986,0
1944-05-26,112.235,12959.4,7.03994,2.38693e+06,3.51997,2.22323,0
1944-06-02,71.7613,13909.3,4.79177,2.38602e+06,2.39588,2.37773,0
1944-06-09,46.0298,14860.5,3.25336,2.38509e+06,1.62668,2.8488,0
1944-06-16,29.616,15812.4,2.20465,2.38416e+06,1.10232,0.576244,0
1944-06-23,19.112,16764.7,1.49192,2.38322e+06,0.74596,0.900187,0
1944-06-30,12.369,17717.2,1.00867,2.38227e+06,0.504337,0.701703,0
1944-07-07,8.02734,18669.7,0.681614,2.38132e+06,0.340807,0,0
1944-07-14,5.22374,19622.1,0.460549,2.38037e+06,0.230274,0,0
1944-07-21,3.40826,20574.3,0.311258,2.37942e+06,0.155629,0.113963,0
1944-07-28,2.22948,21526.4,0.210487,2.37847e+06,0.105244,0.422483,0
1944-08-04,1.4621,22478.2,0.142475,2.37752e+06,0.0712373,0.34621,0
1944-08-11,0.961278,23429.8,0.0965604,2.37657e+06,0.0482802,0.376964,0
1944-08-18,0.633604,24381.1,0.0655471,2.37562e+06,0.0327735,0.226003,0
1944-08-25,0.418694,25332.1,0.0445799,2.37467e+06,0.0222899,0,0
1944-09-01,0.2774,26282.8,0.0303873,2.37372e+06,0.0151937,0,0
1944-09-08,0.18428,27233.2,0.0207658,2.37277e+06,0.0103829,0.0676983,0
1944-09-15,0.122758,28183.4,0.014231,2.37182e+06,0.0071155,0.00777776,0
1944-09-22,0.0820113,29133.2,0.00978313,2.37087e+06,0.00489156,0,0
1944-09-29,0.0549548,30082.7,0.00674827,2.36992e+06,0.00337413,0,0
1944-10-06,0.0369413,31032,0.00467185,2.36897e+06,0.00233592,0,0
1944-10-13,0.0249153,31980.9,0.0032469,2.36802e+06,0.00162345,0.0390033,0
1944-10-20,0.0168634,32929.5,0.0022658,2.36707e+06,0.0011329,0,0
1944-10-27,0.011456,33877.8,0.00158793,2.36612e+06,0.000793965,0,0
1944-11-03,0.00781303,34825.9,0.00111781,2.36517e+06,0.000558904,0,0
1944-11-10,0.00535043,35773.6,0.000790478,2.36423e+06,0.000395239,0.0191745,0
1944-11-17,0.00367986,36721,0.00056163,2.36328e+06,0.000280815,0.0133866,0
1944-11-24,0.00254234,37668.1,0.000400948,2.36233e+06,0.000200474,0.000713573,0
1944-12-01,0.00176474,38614.9,0.000287629,2.36139e+06,0.000143814,0,0
1944-12-08,0.00123098,39561.4,0.00020735,2.36044e+06,0.000103675,0,0
1944-12-15,0.000863016,40507.6,0.000150216,2.35949e+06,7.5108e-05,9.44241e-05,0
1944-12-22,0.000608206,41453.5,0.000109363,2.35855e+06,5.46813e-05,0.00337386,0
1944-12-29,0.000430925,42399.1,8.00118e-05,2.3576e+06,4.00059e-05,0.00710456,0
1945-01-05,0.000306985,43344.4,5.88244e-05,2.35666e+06,2.94122e-05,0,0
1945-01-12,0.000219904,44289.4,4.34563e-05,2.35571e+06,2.17281e-05,0,0
1945-01-19,0.000158405,45234.1,3.22556e-05,2.35477e+06,1.61278e-05,0,0
1945-01-26,0.000114744,46178.5,2.40531e-05,2.35382e+06,1.20265e-05,0.00310081,0
1945-02-02,8.35819e-05,47122.6,1.80175e-05,2.35288e+06,9.00877e-06,0.00176184,0
1945-02-09,6.122e-05,48066.4,1.35556e-05,2.35193e+06,6.77778e-06,0.00189369,0
1945-02-16,4.50853e-05,49009.8,1.02415e-05,2.35099e+06,5.12074e-06,0.00093454,0
1945-02-23,3.33801e-05,49953,7.76874e-06,2.35005e+06,3.88437e-06,0.000681414,0
1945-03-02,2.48419e-05,50895.9,5.91548e-06,2.3491e+06,2.95774e-06,0,0
1945-03-09,1.858e-05,51838.5,4.52044e-06,2.34816e+06,2.26022e-06,0.00152915,0
1945-03-16,1.3963e-05,52780.8,3.4659e-06,2.34722e+06,1.73295e-06,0,0
1945-03-23,1.05409e-05,53722.8,2.66553e-06,2.34628e+06,1.33276e-06,0,0
1945-03-30,7.99151e-06,54664.4,2.05571e-06,2.34534e+06,1.02786e-06,0.000709164,0
1945-04-06,6.08286e-06,55605.8,1.58939e-06,2.34439e+06,7.94696e-07,0,0
1945-04-13,4.64711e-06,56546.9,1.23158e-06,2.34345e+06,6.15791e-07,2.38894e-05,0
1945-04-20,3.56219e-06,57487.7,9.56166e-07,2.34251e+06,4.78083e-07,0.000665388,0
1945-04-27,2.73887e-06,58428.1,7.43561e-07,2.34157e+06,3.71781e-07,0.000373818,0
1945-05-04,2.11155e-06,59368.3,5.79019e-07,2.34063e+06,2.8951e-07,0.000462294,0
1945-05-11,1.63182e-06,60308.2,4.51385e-07,2.33969e+06,2.25692e-07,0,0
1945-05-18,1.2637e-06,61247.8,3.52186e-07,2.33875e+06,1.76093e-07,0.000623324,0
1945-05-25,9.80358e-07,62187,2.74962e-07,2.33781e+06,1.37481e-07,0,0
1945-06-01,7.61682e-07,63126,2.14765e-07,2.33687e+06,1.07383e-07,0,0
1945-06-08,5.92512e-07,64064.7,1.67795e-07,2.33594e+06,8.38975e-08,1.91659e-05,0
1945-06-15,4.61376e-07,65003,1.31119e-07,2.335e+06,6.55594e-08,2.17171e-05,0
1945-06-22,3.59551e-07,65941.1,1.02468e-07,2.33406e+06,5.12342e-08,0.000175213,0
1945-06-29,2.80377e-07,66878.9,8.00831e-08,2.33312e+06,4.00416e-08,0,0
1945-07-06,2.18751e-07,67816.4,6.25932e-08,2.33218e+06,3.12966e-08,0.000122947,0
1945-07-13,1.70744e-07,68753.5,4.89305e-08,2.33125e+06,2.44652e-08,0.000123947,0
1945-07-20,1.33326e-07,69690.4,3.82606e-08,2.33031e+06,1.91303e-08,0.000110394,0
1945-07-27,1.04152e-07,70627,2.99309e-08,2.32937e+06,1.49654e-08,1.07993e-05,0
1945-08-03,8.14002e-08,71563.3,2.34305e-08,2.32844e+06,1.17153e-08,2.96128e-05,0
1945-08-10,6.3656e-08,72499.2,1.83593e-08,2.3275e+06,9.17967e-09,0,0
1945-08-17,4.98169e-08,73434.9,1.4404e-08,2.32657e+06,7.20201e-09,0,0
1945-08-24,3.90235e-08,74370.3,1.13192e-08,2.32563e+06,5.6596e-09,3.10888e-05,0
1945-08-31,3.06053e-08,75305.4,8.91298e-09,2.32469e+06,4.45649e-09,0,0
1945-09-07,2.40388e-08,76240.2,7.03536e-09,2.32376e+06,3.51768e-09,0,0
1945-09-14,1.89155e-08,77174.6,5.56924e-09,2.32283e+06,2.78462e-09,0,0
1945-09-21,1.49166e-08,78108.8,4.42329e-09,2.32189e+06,2.21164e-09,4.36255e-05,0
1945-09-28,1.17933e-08,79042.7,3.52641e-09,2.32096e+06,1.7632e-09,2.10102e-05,0
1945-10-05,9.3519e-09,79976.3,2.82327e-09,2.32002e+06,1.41164e-09,1.3107e-05,0
1945-10-12,7.44127e-09,80909.6,2.27089e-09,2.31909e+06,1.13545e-09,8.38687e-06,0
1945-10-19,5.94389e-09,81842.6,1.8359e-09,2.31816e+06,9.1795e-10,1.78527e-05,0
1945-10-26,4.76832e-09,82775.3,1.49239e-09,2.31722e+06,7.46197e-10,0,0
1945-11-02,3.84348e-09,83707.6,1.22029e-09,2.31629e+06,6.10145e-10,9.54279e-06,0
1945-11-09,3.11414e-09,84639.7,1.004e-09,2.31536e+06,5.02002e-10,1.30425e-05,0
1945-11-16,2.5374e-09,85571.5,8.31447e-10,2.31443e+06,4.15723e-10,5.39312e-06,0
1945-11-23,2.07994e-09,86503,6.93226e-10,2.3135e+06,3.46613e-10,1.24582e-05,0
1945-11-30,1.71586e-09,87434.2,5.82044e-10,2.31257e+06,2.91022e-10,0,0
1945-12-07,1.42504e-09,88365.1,4.92215e-10,2.31163e+06,2.46107e-10,0,0
1945-12-14,1.19184e-09,89295.8,4.19306e-10,2.3107e+06,2.09653e-10,0,0
1945-12-21,1.00404e-09,90226.1,3.5985e-10,2.30977e+06,1.79925e-10,0,0
1945-12-28,8.52157e-10,91156.1,3.11132e-10,2.30884e+06,1.55566e-10,0,0
1946-01-04,7.28749e-10,92085.8,2.71015e-10,2.30791e+06,1.35508e-10,0,0
1946-01-11,6.28002e-10,93015.2,2.37816e-10,2.30698e+06,1.18908e-10,0,0
1946-01-18,5.45351e-10,93944.3,2.10202e-10,2.30606e+06,1.05101e-10,4.70962e-07,0
1946-01-25,4.77204e-10,94873.2,1.87115e-10,2.30513e+06,9.35574e-11,6.30782e-06,0
1946-02-01,4.20724e-10,95801.7,1.6771e-10,2.3042e+06,8.38551e-11,1.00511e-06,0
1946-02-08,3.73664e-10,96729.9,1.51312e-10,2.30327e+06,7.5656e-11,0,0
1946-02-15,3.34238e-10,97657.8,1.37376e-10,2.30234e+06,6.8688e-11,0,0
1946-02-22,3.01018e-10,98585.5,1.25463e-10,2.30141e+06,6.27313e-11,6.0096e-06,0
1946-03-01,2.72861e-10,99512.8,1.15214e-10,2.30049e+06,5.76069e-11,0,0
1946-03-08,2.48845e-10,100440,1.06338e-10,2.29956e+06,5.31689e-11,3.97069e-08,0
1946-03-15,2.28224e-10,101367,9.85946e-11,2.29863e+06,4.92973e-11,0,0
1946-03-22,2.10391e-10,102293,9.17862e-11,2.29771e+06,4.58931e-11,0,0
1946-03-29,1.94851e-10,103219,8.57488e-11,2.29678e+06,4.28744e-11,0,0
1946-04-05,1.81196e-10,104145,8.03461e-11,2.29585e+06,4.01731e-11,3.18109e-06,0
1946-04-12,1.69092e-10,105071,7.54647e-11,2.29493e+06,3.77324e-11,5.2668e-06,0
1946-04-19,1.5826e-10,105996,7.10102e-11,2.294e+06,3.55051e-11,0,0
1946-04-26,1.48472e-10,106921,6.69044e-11,2.29308e+06,3.34522e-11,1.06003e-06,0
1946-05-03,1.39538e-10,107846,6.30829e-11,2.29215e+06,3.15414e-11,0,0
1946-05-10,1.31304e-10,108770,5.94933e-11,2.29123e+06,2.97467e-11,3.13876e-06,0
1946-05-17,1.23642e-10,109694,5.6094e-11,2.29031e+06,2.8047e-11,0,0
1946-05-24,1.16451e-10,110618,5.28525e-11,2.28938e+06,2.64262e-11,0,0
1946-05-31,1.09649e-10,111541,4.97447e-11,2.28846e+06,2.48724e-11,0,0
1946-06-07,1.03176e-10,112465,4.6754e-11,2.28754e+06,2.3377e-11,0,0
1946-06-14,9.69844e-11,113387,4.38698e-11,2.28661e+06,2.19349e-11,0,0
1946-06-21,9.10441e-11,114310,4.10869e-11,2.28569e+06,2.05434e-11,2.18775e-06,0
1946-06-28,8.53349e-11,115232,3.84044e-11,2.28477e+06,1.92022e-11,0,0
1946-07-05,7.98468e-11,116154,3.58247e-11,2.28385e+06,1.79123e-11,0,0
1946-07-12,7.45777e-11,117076,3.33525e-11,2.28292e+06,1.66762e-11,1.04164e-06,0
1946-07-19,6.95306e-11,117998,3.09937e-11,2.282e+06,1.54969e-11,0,0
1946-07-26,6.47129e-11,118919,2.87549e-11,2.28108e+06,1.43775e-11,4.35242e-06,0
1946-08-02,6.01337e-11,119839,2.66423e-11,2.28016e+06,1.33211e-11,4.2423e-06,0
1946-08-09,5.58027e-11,120760,2.46611e-11,2.27924e+06,1.23305e-11,0,0
1946-08-16,5.1729e-11,121680,2.28155e-11,2.27832e+06,1.14077e-11,0,0
1946-08-23,4.79198e-11,122600,2.11078e-11,2.2774e+06,1.05539e-11,0,0
1946-08-30,4.43804e-11,123520,1.9539e-11,2.27648e+06,9.76951e-12,0,0
1946-09-06,4.11129e-11,124439,1.81082e-11,2.27556e+06,9.05408e-12,2.55686e-06,0
1946-09-13,3.8117e-11,125358,1.6813e-11,2.27464e+06,8.40648e-12,2.52148e-06,0
1946-09-20,3.53895e-11,126277,1.56498e-11,2.27372e+06,7.82489e-12,3.99738e-06,0
1946-09-27,3.29249e-11,127196,1.46141e-11,2.2728e+06,7.30704e-12,9.41901e-07,0
1946-10-04,3.07157e-11,128114,1.37006e-11,2.27189e+06,6.85032e-12,0,0
1946-10-11,2.8753e-11,129032,1.29039e-11,2.27097e+06,6.45194e-12,1.08587e-06,0
1946-10-18,2.7027e-11,129949,1.22182e-11,2.27005e+06,6.10912e-12,0,0
1946-10-25,2.55276e-11,130867,1.16384e-11,2.26913e+06,5.81919e-12,2.82143e-06,0
1946-11-01,2.42448e-11,131784,1.11595e-11,2.26822e+06,5.57973e-12,0,0
1946-11-08,2.31695e-11,132700,1.07774e-11,2.2673e+06,5.3887e-12,1.03259e-07,0
1946-11-15,2.22937e-11,133617,1.04891e-11,2.26638e+06,5.24454e-12,0,0
1946-11-22,2.16109e-11,134533,1.02925e-11,2.26547e+06,5.14624e-12,1.53048e-06,0
1946-11-29,2.11169e-11,135449,1.01869e-11,2.26455e+06,5.09344e-12,2.49961e-06,0
1946-12-06,2.08094e-11,136364,1.01731e-11,2.26364e+06,5.08654e-12,3.23229e-07,0
1946-12-13,2.06895e-11,137280,1.02535e-11,2.26272e+06,5.12677e-12,2.36867e-06,0
1946-12-20,2.07609e-11,138195,1.04326e-11,2.26181e+06,5.21628e-12,0,0
1946-12-27,2.10313e-11,139109,1.07166e-11,2.26089e+06,5.3583e-12,1.25761e-06,0
1947-01-03,2.15122e-11,140024,1.11145e-11,2.25998e+06,5.55724e-12,0,0
1947-01-10,2.22198e-11,140938,1.16378e-11,2.25906e+06,5.81889e-12,9.21368e-07,0
1947-01-17,2.31757e-11,141852,1.23011e-11,2.25815e+06,6.15055e-12,1.18908e-06,0
1947-01-24,2.44071e-11,142765,1.31226e-11,2.25723e+06,6.56132e-12,0,0
1947-01-31,2.59485e-11,143678,1.41245e-11,2.25632e+06,7.06226e-12,2.72684e-06,0
1947-02-07,2.78415e-11,144591,1.53335e-11,2.25541e+06,7.66676e-12,0,0
1947-02-14,3.0137e-11,145504,1.67814e-11,2.2545e+06,8.39072e-12,2.20495e-06,0
1947-02-21,3.28954e-11,146416,1.85059e-11,2.25358e+06,9.25295e-12,9.84709e-07,0
1947-02-28,3.61882e-11,147328,2.05508e-11,2.25267e+06,1.02754e-11,4.82743e-07,0
1947-03-07,4.00988e-11,148240,2.29669e-11,2.25176e+06,1.14834e-11,0,0
1947-03-14,4.47237e-11,149152,2.58121e-11,2.25085e+06,1.29061e-11,7.77639e-07,0
1947-03-21,5.01733e-11,150063,2.91521e-11,2.24994e+06,1.45761e-11,0,0
1947-03-28,5.65721e-11,150974,3.30599e-11,2.24903e+06,1.65299e-11,0,0
1947-04-04,6.40588e-11,151884,3.76153e-11,2.24812e+06,1.88077e-11,0,0
1947-04-11,7.27856e-11,152795,4.29047e-11,2.24721e+06,2.14523e-11,0,0
1947-04-18,8.29161e-11,153705,4.90188e-11,2.2463e+06,2.45094e-11,1.47579e-06,0
1947-04-25,9.46236e-11,154614,5.60513e-11,2.24539e+06,2.80257e-11,0,0
1947-05-02,1.08087e-10,155524,6.4096e-11,2.24448e+06,3.2048e-11,0,0
1947-05-09,1.23485e-10,156433,7.32435e-11,2.24357e+06,3.66218e-11,0,0
1947-05-16,1.40993e-10,157342,8.35783e-11,2.24266e+06,4.17891e-11,2.98792e-06,0
1947-05-23,1.60775e-10,158250,9.51745e-11,2.24175e+06,4.75873e-11,0,0
1947-05-30,1.82979e-10,159159,1.08093e-10,2.24084e+06,5.40467e-11,3.21839e-06,0
1947-06-06,2.07729e-10,160067,1.22381e-10,2.23993e+06,6.11903e-11,2.302e-06,0
1947-06-13,2.35122e-10,160974,1.38065e-10,2.23903e+06,6.90323e-11,4.18579e-06,0
1947-06-20,2.65226e-10,161882,1.55158e-10,2.23812e+06,7.75788e-11,0,0
1947-06-27,2.98082e-10,162789,1.73658e-10,2.23721e+06,8.6829e-11,0,0
1947-07-04,3.33705e-10,163696,1.93555e-10,2.2363e+06,9.67777e-11,3.51886e-06,0
1947-07-11,3.72096e-10,164602,2.14838e-10,2.2354e+06,1.07419e-10,0,0
1947-07-18,4.13252e-10,165508,2.37503e-10,2.23449e+06,1.18752e-10,0,0
1947-07-25,4.57189e-10,166414,2.6157e-10,2.23359e+06,1.30785e-10,0,0
1947-08-01,5.03959e-10,167320,2.87091e-10,2.23268e+06,1.43545e-10,0,0
1947-08-08,5.53679e-10,168225,3.14172e-10,2.23177e+06,1.57086e-10,1.48068e-05,0
1947-08-15,6.06558e-10,169130,3.42986e-10,2.23087e+06,1.71493e-10,0,0
1947-08-22,6.62933e-10,170035,3.73796e-10,2.22996e+06,1.86898e-10,1.00961e-05,0
1947-08-29,7.23303e-10,170940,4.06971e-10,2.22906e+06,2.03486e-10,0,0
1947-09-05,7.88368e-10,171844,4.43011e-10,2.22816e+06,2.21506e-10,7.08839e-06,0
1947-09-12,8.59079e-10,172748,4.82577e-10,2.22725e+06,2.41289e-10,0,0
1947-09-19,9.3669e-10,173652,5.26522e-10,2.22635e+06,2.63261e-10,0,0
1947-09-26,1.02283e-09,174555,5.75936e-10,2.22545e+06,2.87968e-10,0,0
1947-10-03,1.11958e-09,175458,6.32203e-10,2.22454e+06,3.16102e-10,2.19156e-05,0
1947-10-10,1.2296e-09,176361,6.97076e-10,2.22364e+06,3.48538e-10,0,0
1947-10-17,1.35628e-09,177263,7.7278e-10,2.22274e+06,3.8639e-10,0,0
1947-10-24,1.5039e-09,178165,8.62149e-10,2.22183e+06,4.31074e-10,1.53067e-05,0
1947-10-31,1.67797e-09,179067,9.68815e-10,2.22093e+06,4.84407e-10,0,0
1947-11-07,1.88556e-09,179969,1.09746e-09,2.22003e+06,5.48732e-10,0,0
1947-11-14,2.13577e-09,180870,1.25419e-09,2.21913e+06,6.27094e-10,0,0
1947-11-21,2.4405e-09,181771,1.44696e-09,2.21823e+06,7.2348e-10,2.57824e-05,0
1947-11-28,2.81532e-09,182672,1.68631e-09,2.21733e+06,8.43154e-10,0,0
1947-12-05,3.28082e-09,183573,1.98622e-09,2.21643e+06,9.93112e-10,0,0
1947-12-12,3.86443e-09,184473,2.36545e-09,2.21553e+06,1.18273e-09,0,0
1947-12-19,4.60289e-09,185373,2.84927e-09,2.21463e+06,1.42463e-09,0,0
1947-12-26,5.54584e-09,186272,3.47198e-09,2.21373e+06,1.73599e-09,7.6919e-06,0
1948-01-02,6.76074e-09,187171,4.28047e-09,2.21283e+06,2.14024e-09,3.35319e-05,0
1948-01-09,8.33983e-09,188071,5.33912e-09,2.21193e+06,2.66956e-09,6.1377e-05,0
1948-01-16,1.04099e-08,188969,6.73686e-09,2.21103e+06,3.36843e-09,0,0
1948-01-23,1.31464e-08,189868,8.59707e-09,2.21013e+06,4.29854e-09,5.85665e-05,0
1948-01-30,1.67926e-08,190766,1.10916e-08,2.20923e+06,5.54581e-09,0,0
1948-02-06,2.16879e-08,191664,1.44607e-08,2.20834e+06,7.23037e-09,0,0
1948-02-13,2.83063e-08,192561,1.9041e-08,2.20744e+06,9.52049e-09,6.00098e-05,0
1948-02-20,3.73125e-08,193459,2.53047e-08,2.20654e+06,1.26524e-08,0,0
1948-02-27,4.96386e-08,194356,3.39155e-08,2.20564e+06,1.69577e-08,2.92722e-05,0
1948-03-05,6.65935e-08,195252,4.58049e-08,2.20475e+06,2.29025e-08,0,0
1948-03-12,9.00132e-08,196149,6.22798e-08,2.20385e+06,3.11399e-08,5.3298e-05,0
1948-03-19,1.2247e-07,197045,8.51685e-08,2.20295e+06,4.25842e-08,0,0
1948-03-26,1.67556e-07,197941,1.17021e-07,2.20206e+06,5.85105e-08,0,0
1948-04-02,2.30275e-07,198837,1.61377e-07,2.20116e+06,8.06887e-08,0,0
1948-04-09,3.17555e-07,199732,2.23125e-07,2.20027e+06,1.11562e-07,0,0
1948-04-16,4.3894e-07,200627,3.08966e-07,2.19937e+06,1.54483e-07,0,0
1948-04-23,6.07484e-07,201522,4.28022e-07,2.19848e+06,2.14011e-07,0.000575072,0
1948-04-30,8.40909e-07,202416,5.92604e-07,2.19758e+06,2.96302e-07,0,0
1948-05-07,1.16306e-06,203310,8.19166e-07,2.19669e+06,4.09583e-07,0,0
1948-05-14,1.60572e-06,204204,1.12949e-06,2.1958e+06,5.64744e-07,0.000464832,0
1948-05-21,2.21087e-06,205098,1.5521e-06,2.1949e+06,7.76049e-07,0,0
1948-05-28,3.03335e-06,205991,2.12397e-06,2.19401e+06,1.06198e-06,0,0
1948-06-04,4.14411e-06,206884,2.89252e-06,2.19312e+06,1.44626e-06,0.0012593,0
1948-06-11,5.634e-06,207777,3.91797e-06,2.19222e+06,1.95898e-06,0,0
1948-06-18,7.61831e-06,208669,5.27611e-06,2.19133e+06,2.63806e-06,0.00037891,0
1948-06-25,1.02421e-05,209561,7.0616e-06,2.19044e+06,3.5308e-06,0,0
1948-07-02,1.36866e-05,210453,9.39197e-06,2.18955e+06,4.69599e-06,0,0
1948-07-09,1.81773e-05,211345,1.24127e-05,2.18866e+06,6.20636e-06,0,0
1948-07-16,2.39935e-05,212236,1.63037e-05,2.18776e+06,8.15186e-06,0.00137693,0
1948-07-23,3.14817e-05,213127,2.12879e-05,2.18687e+06,1.0644e-05,0,0
1948-07-30,4.10726e-05,214018,2.76431e-05,2.18598e+06,1.38215e-05,0.00201989,0
1948-08-06,5.33041e-05,214908,3.57177e-05,2.18509e+06,1.78589e-05,0.00200341,0
1948-08-13,6.88535e-05,215798,4.59536e-05,2.1842e+06,2.29768e-05,0,0
1948-08-20,8.85817e-05,216688,5.8917e-05,2.18331e+06,2.94585e-05,0,0
1948-08-27,0.000113595,217578,7.53426e-05,2.18242e+06,3.76713e-05,0.00133308,0
1948-09-03,0.000145333,218467,9.6195e-05,2.18153e+06,4.80975e-05,0,0
1948-09-10,0.000185687,219356,0.000122756,2.18064e+06,6.13782e-05,0.0103079,0
1948-09-17,0.000237181,220245,0.000156751,2.17976e+06,7.83753e-05,0,0
